                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.65731,                0.68093,                 1.0952,                      1,                0.99289,                  0.995,                0.46983,                  1.641,                 1.0726,                 2.3193,              0.0004358,              0.0004358,              0.0004358
                     81,                0.81691,                0.77503,                 1.2054,                      1,                0.99289,                  0.995,                0.46983,                  1.641,                 1.0726,                 2.3193,               0.000416,               0.000416,               0.000416
                     82,                 0.6119,                0.67408,                 1.0387,                      1,                0.99808,                  0.995,                0.50659,                 1.6824,                 1.0528,                 2.3197,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.7339,                 0.7258,                 1.0874,                0.99549,                      1,                  0.995,                0.50027,                   1.66,                 1.0143,                 2.2349,              0.0003764,              0.0003764,              0.0003764
                     84,                0.76625,                0.78773,                 1.1481,                 0.9938,                      1,                  0.995,                0.48466,                 1.6179,                 1.0022,                 2.1629,              0.0003566,              0.0003566,              0.0003566
                     85,                0.73595,                0.69687,                 1.1573,                 0.9938,                      1,                  0.995,                0.48466,                 1.6179,                 1.0022,                 2.1629,              0.0003368,              0.0003368,              0.0003368
                     86,                0.65015,                0.66073,                 1.0762,                 0.9934,                      1,                  0.995,                0.51499,                 1.5922,                 1.0098,                 2.1303,               0.000317,               0.000317,               0.000317
                     87,                0.71344,                0.75664,                 1.1696,                0.99081,                      1,                  0.995,                0.54152,                 1.5842,                0.99589,                 2.1389,              0.0002972,              0.0002972,              0.0002972
                     88,                0.69118,                0.65135,                 1.0759,                0.91298,                      1,                0.98885,                0.55386,                 1.5425,                0.96499,                 2.1143,              0.0002774,              0.0002774,              0.0002774
                     89,                0.61406,                0.62555,                 1.0383,                0.91298,                      1,                0.98885,                0.55386,                 1.5425,                0.96499,                 2.1143,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.6601,                0.62104,                 1.0991,                0.91766,                      1,                0.98885,                0.56164,                 1.5653,                0.98799,                 2.1078,              0.0002378,              0.0002378,              0.0002378
                     91,                0.78105,                 1.4941,                 1.4382,                 0.9133,                      1,                0.98885,                0.56245,                 1.5717,                 1.0297,                 2.0975,               0.000218,               0.000218,               0.000218
                     92,                0.70926,                 1.1356,                 1.3223,                      1,                0.98994,                  0.995,                0.57237,                 1.5499,                 1.0844,                 2.1304,              0.0001982,              0.0001982,              0.0001982
                     93,                0.56014,                 1.0273,                 1.1274,                      1,                0.98994,                  0.995,                0.57237,                 1.5499,                 1.0844,                 2.1304,              0.0001784,              0.0001784,              0.0001784
                     94,                0.61054,                 1.0595,                 1.1127,                0.85535,                0.98641,                 0.9694,                0.57936,                 1.5242,                 1.1104,                 2.1307,              0.0001586,              0.0001586,              0.0001586
                     95,                0.52854,                0.97638,                 1.0835,                0.91154,                0.91667,                0.96483,                0.55186,                 1.5124,                 1.0954,                 2.1534,              0.0001388,              0.0001388,              0.0001388
                     96,                0.48207,                0.92831,                 1.0743,                 0.8271,                0.83333,                0.87004,                 0.5289,                 1.5113,                 1.1212,                 2.1953,               0.000119,               0.000119,               0.000119
                     97,                0.46992,                0.90419,                 1.0741,                 0.8271,                0.83333,                0.87004,                 0.5289,                 1.5113,                 1.1212,                 2.1953,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.50559,                 0.8382,                  1.059,                0.82684,                0.83333,                0.86995,                0.51798,                 1.5221,                 1.1101,                 2.2159,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.51627,                0.85413,                 1.0424,                0.82662,                0.83333,                0.86581,                0.50866,                 1.5363,                 1.1113,                 2.2539,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.59192,                0.91103,                 1.0773,                0.82641,                0.83333,                0.86424,                 0.5025,                 1.5375,                 1.1312,                 2.2862,               3.98e-05,               3.98e-05,               3.98e-05
